,ad_code,ad_name,lowest_ad_name
56,1135000000,서울특별시 노원구,노원구
57,4687000000,전라남도 영광군,영광군
58,4889000000,경상남도 합천군,합천군
59,4831000000,경상남도 거제시,거제시
60,4872000000,경상남도 의령군,의령군
61,4111300000,경기도 수원시 권선구,수원시 권선구
62,4111000000,경기도 수원시,수원시
63,4873000000,경상남도 함안군,함안군
64,4874000000,경상남도 창녕군,창녕군
65,4776000000,경상북도 영양군,영양군
66,4777000000,경상북도 영덕군,영덕군
67,4775000000,경상북도 청송군,청송군
68,4773000000,경상북도 의성군,의성군
69,4717000000,경상북도 안동시,안동시
70,2911000000,광주광역시 동구,동구
71,4372000000,충청북도 보은군,보은군
72,4111100000,경기도 수원시 장안구,수원시 장안구
73,4418000000,충청남도 보령시,보령시
74,4374000000,충청북도 영동군,영동군
75,2914000000,광주광역시 서구,서구
76,4375000000,충청북도 진천군,진천군
77,4600000000,전라남도,전라남도
78,4377000000,충청북도 음성군,음성군
79,2872000000,인천광역시 옹진군,옹진군
80,4471000000,충청남도 금산군,금산군
81,4182000000,경기도 가평군,가평군
82,4691000000,전라남도 신안군,신안군
83,4413000000,충청남도 천안시,천안시
84,4420000000,충청남도 아산시,아산시
85,4376000000,충청북도 괴산군,괴산군
86,4784000000,경상북도 성주군,성주군
87,2900000000,광주광역시,광주광역시
88,2820000000,인천광역시 남동구,남동구
89,4183000000,경기도 양평군,양평군
90,4477000000,충청남도 서천군,서천군
91,4315000000,충청북도 제천시,제천시
92,4481000000,충청남도 예산군,예산군
93,4143000000,경기도 의왕시,의왕시
94,2729000000,대구광역시 달서구,달서구
95,4790000000,경상북도 예천군,예천군
96,2723000000,대구광역시 북구,북구
97,3020000000,대전광역시 유성구,유성구
98,1174000000,서울특별시 강동구,강동구
99,2626000000,부산광역시 동래구,동래구
100,4713000000,경상북도 경주시,경주시
101,4794000000,경상북도 울릉군,울릉군
102,3100000000,울산광역시,울산광역시
103,3111000000,울산광역시 중구,중구
104,2700000000,대구광역시,대구광역시
105,2818500000,인천광역시 연수구,연수구
106,2726000000,대구광역시 수성구,수성구
107,4827000000,경상남도 밀양시,밀양시
108,1168000000,서울특별시 강남구,강남구
109,2811000000,인천광역시 중구,중구
110,4885000000,경상남도 하동군,하동군
111,4783000000,경상북도 고령군,고령군
112,2920000000,광주광역시 광산구,광산구
113,4886000000,경상남도 산청군,산청군
114,4800000000,경상남도,경상남도
115,2629000000,부산광역시 남구,남구
116,4180000000,경기도 연천군,연천군
117,2641000000,부산광역시 금정구,금정구
